id,displayName,class,description,hp,atk,def,skills,trait,isDefault,unlockCondition
Char_Necromancer,네크로맨서,생명력을 다루는 흑마법사. 약화와 도트 데미지에 특화되어 있습니다.,Necromancer,20,0,0,Necro_LifeDrain;Necro_Curse;Necro_Decay;Necro_RaiseDead,Corrosive,0,2층 보스 클리어
Char_Alchemist,연금술사,다양한 물약을 제조하는 연금술사. 힐과 디버프를 겸비합니다.,Alchemist,22,0,0,Alch_HealPotion;Alch_PoisonBomb;Alch_BoostPotion;Alch_ShieldPotion,Shell,0,3층 보스 클리어
Enemy_Slime,슬라임,끈적끈적한 젤리 형태의 몬스터.,Warrior,6,0,0,Slime_Tackle;Slime_AcidSpit;Slime_Split;Slime_Jiggle,Regenerate,1,
Enemy_Goblin,고블린,교활하고 빠른 작은 몬스터.,Rogue,7,0,0,Goblin_Scratch;Goblin_Bite;Goblin_Steal;Goblin_Hide,Opportunist,1,
Enemy_Wolf,늑대,날카로운 이빨을 가진 사나운 늑대.,Rogue,5,0,0,Wolf_Bite;Wolf_Howl;Wolf_Lunge;Wolf_Sniff,Counter,1,
Enemy_Mushroom,독버섯,포자를 뿜어내는 거대한 독버섯.,Mage,5,0,0,Mushroom_Spore;Mushroom_Headbutt;Mushroom_Regrow;Mushroom_ToxicMist,Thorns,1,
Enemy_Skeleton,해골 전사,생과 사를 오가는 언데드 기사.,Warrior,9,0,0,Skeleton_Slash;Skeleton_BoneThrow;Skeleton_DefensiveStance;Skeleton_Rattle,PhaseShift,1,
Enemy_Bat,박쥐,초음파로 사냥하는 박쥐 떼의 우두머리.,Rogue,6,0,0,Bat_Screech;Bat_DrainLife;Bat_Evasion;Bat_Curse,Shell,1,
Enemy_Mummy,미라,고대의 무덤에서 깨어난 미라.,Warrior,10,0,0,Mummy_Wrap;Mummy_Curse;Mummy_Bandage;Mummy_Sandstorm,Regenerate,1,
Enemy_SkeletonArcher,해골 궁수,정확한 사격을 하는 언데드 궁수.,Rogue,8,0,0,Archer_Precision;Archer_PoisonArrow;Archer_Retreat;Archer_Aim,Opportunist,1,
Enemy_Wraith,망령,차가운 기운을 품은 망령.,Mage,9,0,0,Wraith_Drain;Wraith_Chill;Wraith_Phase;Wraith_Wail,PhaseShift,1,
Enemy_Shadow,그림자,어둠 속에서 이동하는 그림자 암살자.,Rogue,8,0,0,Shadow_Blade;Shadow_Smoke;Shadow_Hide;Shadow_Strike,Shell,1,
Enemy_DemonSoldier,악마 병사,Warrior,지옥의 군대를 이루는 악마 전사.,11,0,0,Demon_Sword;Demon_FireSlash;Demon_Shield;Demon_Warcry,Counter,1,
