enemyId,order,skillId,weight
Enemy_Slime,0,Slime_Tackle,30
Enemy_Slime,1,Slime_AcidSpit,25
Enemy_Slime,2,Slime_Split,20
Enemy_Slime,3,Slime_Jiggle,15
Enemy_Goblin,0,Goblin_Scratch,30
Enemy_Goblin,1,Goblin_Bite,25
Enemy_Goblin,2,Goblin_Steal,25
Enemy_Goblin,3,Goblin_Hide,20
Enemy_Skeleton,0,Skeleton_Slash,30
Enemy_Skeleton,1,Skeleton_BoneThrow,25
Enemy_Skeleton,2,Skeleton_DefensiveStance,20
Enemy_Skeleton,3,Skeleton_Rattle,25
Enemy_Wolf,0,Wolf_Bite,30
Enemy_Wolf,1,Wolf_Howl,20
Enemy_Wolf,2,Wolf_Lunge,25
Enemy_Wolf,3,Wolf_Sniff,15
Enemy_Mushroom,0,Mushroom_Spore,25
Enemy_Mushroom,1,Mushroom_Headbutt,30
Enemy_Mushroom,2,Mushroom_Regrow,20
Enemy_Mushroom,3,Mushroom_ToxicMist,25
Enemy_Bat,0,Bat_Screech,30
Enemy_Bat,1,Bat_DrainLife,25
Enemy_Bat,2,Bat_Evasion,20
Enemy_Bat,3,Bat_Curse,25
Enemy_EliteKnight,0,EliteKnight_Slash,30
Enemy_EliteKnight,1,EliteKnight_ShieldBash,20
Enemy_EliteKnight,2,EliteKnight_Taunt,20
Enemy_EliteKnight,3,EliteKnight_Warcry,20
Enemy_EliteMage,0,EliteMage_Fireball,30
Enemy_EliteMage,1,EliteMage_Blizzard,25
Enemy_EliteMage,2,EliteMage_Barrier,20
Enemy_EliteMage,3,EliteMage_Drain,25
Enemy_EliteDarkSlime,0,DarkSlime_CorruptStrike,30
Enemy_EliteDarkSlime,1,DarkSlime_PoisonCloud,25
Enemy_EliteDarkSlime,2,DarkSlime_DarkShield,20
Enemy_EliteDarkSlime,3,DarkSlime_Absorb,20
Enemy_BossVerdantTerror,0,BossVT_Strike,30
Enemy_BossVerdantTerror,1,BossVT_PoisonBreath,25
Enemy_BossVerdantTerror,2,BossVT_Regrow,20
Enemy_BossVerdantTerror,3,BossVT_Roots,25
Enemy_BossFrostMonarch,0,BossFM_IceLance,30
Enemy_BossFrostMonarch,1,BossFM_FrostNova,25
Enemy_BossFrostMonarch,2,BossFM_IceBarrier,20
Enemy_BossFrostMonarch,3,BossFM_Chill,25
Enemy_BossSandLeviathan,0,BossSL_SandBlast,30
Enemy_BossSandLeviathan,1,BossSL_Burrow,20
Enemy_BossSandLeviathan,2,BossSL_Devour,25
Enemy_BossSandLeviathan,3,BossSL_Quicksand,25
Enemy_BossBloodQueen,0,BossBQ_Bite,30
Enemy_BossBloodQueen,1,BossBQ_BloodSwarm,25
Enemy_BossBloodQueen,2,BossBQ_CrimsonRite,20
Enemy_BossBloodQueen,3,BossBQ_Mesmerize,25
Enemy_BossPlagueLord,0,BossPL_ToxicSlash,30
Enemy_BossPlagueLord,1,BossPL_PlagueCloud,25
Enemy_BossPlagueLord,2,BossPL_Festering,25
Enemy_BossPlagueLord,3,BossPL_Regurgitate,20
Enemy_BossLichKing,0,BossLK_DeathBolt,30
Enemy_BossLichKing,1,BossLK_Curse,25
Enemy_BossLichKing,2,BossLK_SoulHarvest,25
Enemy_BossLichKing,3,BossLK_Phylactery,20
Enemy_BossKraken,0,BossKr_Tentacle,30
Enemy_BossKraken,1,BossKr_Whirlpool,25
Enemy_BossKraken,2,BossKr_InkCloud,25
Enemy_BossKraken,3,BossKr_Constrict,20
Enemy_BossStormLord,0,BossSLo_Lightning,30
Enemy_BossStormLord,1,BossSLo_ChainBolt,25
Enemy_BossStormLord,2,BossSLo_ThunderStrike,25
Enemy_BossStormLord,3,BossSLo_StormAura,20
Enemy_BossVoidWalker,0,BossVW_ShadowStrike,30
